State,!,!=,$,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,[,],basic,break,do,else,false,id,if,num,real,true,while,{,||,},block,bool,decl,decls,equality,expr,factor,join,loc,program,program',rel,stmt,stmts,term,type,unary
83,,,,,,,,,,,,,,,,,,,,,,,,,,,s125,,,,,,,,,,,,,,,,,,,,,,,
84,,r37,,r37,,,r37,r37,r37,r37,r37,r37,r37,,r37,r37,r37,,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,
85,s39,,,,s43,,,,s46,,,,,,,,,,,,,,,s42,s51,,s41,s45,s48,,,,,,,,,54,49,53,126,38,,,47,,,50,,44
86,,,,,,,,,,,,,,,,,,,,,r10,r10,,,r10,r10,,,,r10,r10,,r10,,,,,,,,,,,,,,,,,
87,,,,,,s127,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,
88,,r38,,r38,,,r38,r38,r38,r38,r38,r38,r38,,r38,r38,r38,,,,,,,,,,,,,,,r38,,,,,,,,,,,,,,,,,,
89,s129,,,,s132,,,,s135,,,,,,,,,,,,,,,s131,s139,,s130,s134,s136,,,,,,,,,,138,140,,128,,,,,,137,,133
90,s39,,,,s43,,,,s46,,,,,,,,,,,,,,,s42,s51,,s41,s45,s48,,,,,,,,,,,53,,38,,,,,,141,,44
91,s129,,,,s132,,,,s135,,,,,,,,,,,,,,,s131,s139,,s130,s134,s136,,,,,,,,,,142,140,,128,,,,,,137,,133
92,s39,,,,s43,,,,s46,,,,,,,,,,,,,,,s42,s51,,s41,s45,s48,,,,,,,,,,,53,,38,,,,,,143,,44
93,s129,,,,s132,,,,s135,,,,,,,,,,,,,,,s131,s139,,s130,s134,s136,,,,,,,,,,144,140,,128,,,,,,137,,133
94,s129,,,,s132,,,,s135,,,,,,,,,,,,,,,s131,s139,,s130,s134,s136,,,,,,,,,,145,140,,128,,,,,,137,,133
95,s39,,,,s43,,,,s46,,,,,,,,,,,,,,,s42,s51,,s41,s45,s48,,,,,,,,,,,53,,38,,,,,,,,146
96,s39,,,,s43,,,,s46,,,,,,,,,,,,,,,s42,s51,,s41,s45,s48,,,,,,,,,,,53,,38,,,,,,,,147
97,s39,,,,s43,,,,s46,,,,,,,,,,,,,,,s42,s51,,s41,s45,s48,,,,,,,,,148,49,53,,38,,,47,,,50,,44
98,s39,,,,s43,,,,s46,,,,,,,,,,,,,,,s42,s51,,s41,s45,s48,,,,,,,,,,49,53,,38,,,149,,,50,,44
99,s39,,,,s43,,,,s46,,,,,,,,,,,,,,,s42,s51,,s41,s45,s48,,,,,,,,,,49,53,,38,,,150,,,50,,44
100,,,,,,,,,,,,,,,,,,,,,r2,r2,,,r2,r2,,,,r2,r2,,r2,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,s151,,,,,,,,,,,,,,,,,,,,,s85,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,s10,s14,,,s12,s16,,,,s15,s13,,s152,11,,,,,,,,9,,,,18,,,,
103,,,,,s153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,s154,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,
105,,,,,,s155,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,
106,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,156,,,79,74,78,77,63,,,72,,,75,,69
107,,,,,,,,,,,,,,,,,,,,,,,,,,,s157,,,,,,,,,,,,,,,,,,,,,,,
108,,r37,,r37,,r37,r37,r37,r37,r37,,r37,r37,,r37,r37,r37,,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,
